model,seed,stage,down_format,qat_data,parent_package,evaluation_package,dataset,split,subset,subset_identity,metric_protocol,ppl,nll,targets,input_tokens,unscored_tail_tokens,reuse_status,completion,evidence_path
meta-llama/Llama-3.2-1B-Instruct,42,B100-initial-SP2,SP2,none,,/home/dongpeiyan/projects/rotation-quant/runs/phase3/route-b-adam-100-20260914a/checkpoint-0100/static_w4a8.pt,allenai/c4,validation,en,/home/dongpeiyan/projects/rotation-quant/runs/phase2/c4-acceptance-c-20260912.FJXr6U/data/input_tokens.pt,"BF16 logits CE; per-token loss to FP32; log(float32 segment PPL), target-weighted NLL",29.18423776720624,3.373628761035482,2096128,2097152,0,inherited_no_rerun,COMPLETED,/home/dongpeiyan/projects/rotation-quant/runs/phase3/c4-b100-sp2-fixed-20260918a/result.json
meta-llama/Llama-3.2-1B-Instruct,42,SP2-PTQ,SP2,none,/home/dongpeiyan/projects/rotation-quant/runs/phase3/seq-b100-rounded-sp2-contract-20260914a/static_w4a8.pt,/home/dongpeiyan/projects/rotation-quant/runs/phase3/seq-b100-sp2-refine-down-20260914a/static_w4a8.pt,allenai/c4,validation,en,/home/dongpeiyan/projects/rotation-quant/runs/phase2/c4-acceptance-c-20260912.FJXr6U/data/input_tokens.pt,"BF16 logits CE; per-token loss to FP32; log(float32 segment PPL), target-weighted NLL",27.43961641336637,3.311987823655252,2096128,2097152,0,inherited_no_rerun,COMPLETED,/home/dongpeiyan/projects/rotation-quant/runs/phase3/c4-ptq-parent-fixed-20260918a/result.json
meta-llama/Llama-3.2-1B-Instruct,42,SP2-QAT400,SP2,WikiText-2 train only,/home/dongpeiyan/projects/rotation-quant/runs/phase3/seq-b100-sp2-refine-down-20260914a/static_w4a8.pt,/home/dongpeiyan/projects/rotation-quant/runs/phase3/distill-b100-refined-ref-adam1e5-400-20260914a/checkpoint-0400/static_w4a8.pt,allenai/c4,validation,en,/home/dongpeiyan/projects/rotation-quant/runs/phase2/c4-acceptance-c-20260912.FJXr6U/data/input_tokens.pt,"BF16 logits CE; per-token loss to FP32; log(float32 segment PPL), target-weighted NLL",26.98478050458106,3.295273022058687,2096128,2097152,0,inherited_no_rerun,COMPLETED,/home/dongpeiyan/projects/rotation-quant/runs/phase3/c4-best-fixed-20260915a/result.json
Qwen/Qwen3-1.7B,42,BF16,BF16,none,,/home/dongpeiyan/projects/rotation-quant/cache/models/qwen3-1.7b,Salesforce/wikitext,test,wikitext-2-raw-v1,/home/dongpeiyan/projects/rotation-quant/runs/phase5/qwen3-1p7b/bf16-test-s42/input_tokens.pt,"BF16 logits CE; per-token loss to FP32; log(float32 segment PPL), target-weighted NLL",16.715764347250076,2.816352247049716,298931,299078,0,new_phase5_measurement,COMPLETED,/home/dongpeiyan/projects/rotation-quant/runs/phase5/qwen3-1p7b/bf16-test-s42/result.json
Qwen/Qwen3-1.7B,42,BF16,BF16,none,,/home/dongpeiyan/projects/rotation-quant/cache/models/qwen3-1.7b,Salesforce/wikitext,validation,wikitext-2-raw-v1,/home/dongpeiyan/projects/rotation-quant/runs/phase5/qwen3-1p7b/bf16-validation-s42/input_tokens.pt,"BF16 logits CE; per-token loss to FP32; log(float32 segment PPL), target-weighted NLL",17.7149122731184,2.8744067861808946,262208,262337,0,new_phase5_measurement,COMPLETED,/home/dongpeiyan/projects/rotation-quant/runs/phase5/qwen3-1p7b/bf16-validation-s42/result.json
Qwen/Qwen3-1.7B,42,BF16,BF16,none,,/home/dongpeiyan/projects/rotation-quant/cache/models/qwen3-1.7b,allenai/c4,validation,en,/home/dongpeiyan/projects/rotation-quant/runs/phase5/qwen3-1p7b/c4-data/input_tokens.pt,"BF16 logits CE; per-token loss to FP32; log(float32 segment PPL), target-weighted NLL",23.136144236064272,3.1413960802266425,2096128,2097152,0,new_phase5_measurement,COMPLETED,/home/dongpeiyan/projects/rotation-quant/runs/phase5/qwen3-1p7b/bf16-c4-s42/result.json
meta-llama/Llama-3.2-1B-Instruct,42,SP2-PTQ,SP2,none,/home/dongpeiyan/projects/rotation-quant/runs/phase3/seq-b100-rounded-sp2-contract-20260914a/static_w4a8.pt,/home/dongpeiyan/projects/rotation-quant/runs/phase3/seq-b100-sp2-refine-down-20260914a/static_w4a8.pt,Salesforce/wikitext,test,wikitext-2-raw-v1,/home/dongpeiyan/projects/rotation-quant/runs/phase5/llama32-1b/sp2-ptq-test-s42/input_tokens.pt,"BF16 logits CE; per-token loss to FP32; log(float32 segment PPL), target-weighted NLL",15.560178512473657,2.7447149912084505,288934,289076,0,new_phase5_measurement,COMPLETED,/home/dongpeiyan/projects/rotation-quant/runs/phase5/llama32-1b/sp2-ptq-test-s42/result.json
meta-llama/Llama-3.2-1B-Instruct,42,uniform-down-round,INT8,none,/home/dongpeiyan/projects/rotation-quant/runs/phase5/llama32-1b/uniform-initial-s42/static_w4a8.pt,/home/dongpeiyan/projects/rotation-quant/runs/phase5/llama32-1b/uniform-down-round-s42/static_w4a8.pt,Salesforce/wikitext,validation,wikitext-2-raw-v1,full cached WikiText-2 validation,"existing evaluator: BF16 logits CE, per-token loss to FP32; log(float32 PPL), weighted by predicted tokens",722.8870870577282,6.583253037151634,252728,252852,0,new_phase5_measurement,COMPLETED,/home/dongpeiyan/projects/rotation-quant/runs/phase5/llama32-1b/uniform-down-round-s42/validation.json
meta-llama/Llama-3.2-1B-Instruct,42,uniform-range,INT8,none,/home/dongpeiyan/projects/rotation-quant/runs/phase5/llama32-1b/uniform-down-round-s42/static_w4a8.pt,/home/dongpeiyan/projects/rotation-quant/runs/phase5/llama32-1b/uniform-range-s42/static_w4a8.pt,Salesforce/wikitext,validation,wikitext-2-raw-v1,full cached WikiText-2 validation,"existing evaluator: BF16 logits CE, per-token loss to FP32; log(float32 PPL), weighted by predicted tokens",44.19421129635554,3.7885938143610356,252728,252852,0,new_phase5_measurement,COMPLETED,/home/dongpeiyan/projects/rotation-quant/runs/phase5/llama32-1b/uniform-range-s42/validation.json
meta-llama/Llama-3.2-1B-Instruct,42,uniform-ptq,INT8,none,/home/dongpeiyan/projects/rotation-quant/runs/phase5/llama32-1b/uniform-range-s42/static_w4a8.pt,/home/dongpeiyan/projects/rotation-quant/runs/phase5/llama32-1b/uniform-down-readapt-s42/static_w4a8.pt,Salesforce/wikitext,validation,wikitext-2-raw-v1,full cached WikiText-2 validation,"existing evaluator: BF16 logits CE, per-token loss to FP32; log(float32 PPL), weighted by predicted tokens",41.5470707013954,3.7268270182480743,252728,252852,0,new_phase5_measurement,COMPLETED,/home/dongpeiyan/projects/rotation-quant/runs/phase5/llama32-1b/uniform-down-readapt-s42/validation.json
meta-llama/Llama-3.2-1B-Instruct,42,uniform-ptq,INT8,none,/home/dongpeiyan/projects/rotation-quant/runs/phase5/llama32-1b/uniform-range-s42/static_w4a8.pt,/home/dongpeiyan/projects/rotation-quant/runs/phase5/llama32-1b/uniform-down-readapt-s42/static_w4a8.pt,Salesforce/wikitext,test,wikitext-2-raw-v1,/home/dongpeiyan/projects/rotation-quant/runs/phase5/llama32-1b/uniform-ptq-test-s42/input_tokens.pt,"BF16 logits CE; per-token loss to FP32; log(float32 segment PPL), target-weighted NLL",38.47028685874723,3.6498861734233596,288934,289076,0,new_phase5_measurement,COMPLETED,/home/dongpeiyan/projects/rotation-quant/runs/phase5/llama32-1b/uniform-ptq-test-s42/result.json
meta-llama/Llama-3.2-1B-Instruct,42,uniform-ptq,INT8,none,/home/dongpeiyan/projects/rotation-quant/runs/phase5/llama32-1b/uniform-range-s42/static_w4a8.pt,/home/dongpeiyan/projects/rotation-quant/runs/phase5/llama32-1b/uniform-down-readapt-s42/static_w4a8.pt,allenai/c4,validation,en,/home/dongpeiyan/projects/rotation-quant/runs/phase2/c4-acceptance-c-20260912.FJXr6U/data/input_tokens.pt,"BF16 logits CE; per-token loss to FP32; log(float32 segment PPL), target-weighted NLL",81.13316772229233,4.396091850662515,2096128,2097152,0,new_phase5_measurement,COMPLETED,/home/dongpeiyan/projects/rotation-quant/runs/phase5/llama32-1b/uniform-ptq-c4-s42/result.json
meta-llama/Llama-3.2-1B-Instruct,42,Initial-SP2-QAT400,SP2,WikiText-2 train only,/home/dongpeiyan/projects/rotation-quant/runs/phase3/route-b-adam-100-20260914a/checkpoint-0100/static_w4a8.pt,/home/dongpeiyan/projects/rotation-quant/runs/phase5/llama32-1b/initial-sp2-qat400-s42-r25/checkpoint-0400/static_w4a8.pt,Salesforce/wikitext,validation,wikitext-2-raw-v1,full cached WikiText-2 validation,"existing evaluator: BF16 logits CE, per-token loss to FP32; log(float32 PPL), weighted by predicted tokens",14.756133058231322,2.6916587969227876,252728,252852,0,new_phase5_measurement,COMPLETED,/home/dongpeiyan/projects/rotation-quant/runs/phase5/llama32-1b/initial-sp2-qat400-s42-r25/checkpoint-0400/validation.json
meta-llama/Llama-3.2-1B-Instruct,42,Initial-SP2-QAT400,SP2,WikiText-2 train only,/home/dongpeiyan/projects/rotation-quant/runs/phase3/route-b-adam-100-20260914a/checkpoint-0100/static_w4a8.pt,/home/dongpeiyan/projects/rotation-quant/runs/phase5/llama32-1b/initial-sp2-qat400-s42-r25/checkpoint-0400/static_w4a8.pt,Salesforce/wikitext,test,wikitext-2-raw-v1,/home/dongpeiyan/projects/rotation-quant/runs/phase5/llama32-1b/initial-sp2-qat400-test-s42/input_tokens.pt,"BF16 logits CE; per-token loss to FP32; log(float32 segment PPL), target-weighted NLL",14.320253706327318,2.6616748782978554,288934,289076,0,new_phase5_measurement,COMPLETED,/home/dongpeiyan/projects/rotation-quant/runs/phase5/llama32-1b/initial-sp2-qat400-test-s42/result.json
meta-llama/Llama-3.2-1B-Instruct,42,Initial-SP2-QAT400,SP2,WikiText-2 train only,/home/dongpeiyan/projects/rotation-quant/runs/phase3/route-b-adam-100-20260914a/checkpoint-0100/static_w4a8.pt,/home/dongpeiyan/projects/rotation-quant/runs/phase5/llama32-1b/initial-sp2-qat400-s42-r25/checkpoint-0400/static_w4a8.pt,allenai/c4,validation,en,/home/dongpeiyan/projects/rotation-quant/runs/phase2/c4-acceptance-c-20260912.FJXr6U/data/input_tokens.pt,"BF16 logits CE; per-token loss to FP32; log(float32 segment PPL), target-weighted NLL",26.730584258553062,3.285808387695454,2096128,2097152,0,new_phase5_measurement,COMPLETED,/home/dongpeiyan/projects/rotation-quant/runs/phase5/llama32-1b/initial-sp2-qat400-c4-s42/result.json
meta-llama/Llama-3.2-1B-Instruct,42,Uniform-QAT400,INT8,WikiText-2 train only,/home/dongpeiyan/projects/rotation-quant/runs/phase5/llama32-1b/uniform-down-readapt-s42/static_w4a8.pt,/home/dongpeiyan/projects/rotation-quant/runs/phase5/llama32-1b/uniform-qat400-s42/checkpoint-0400/static_w4a8.pt,Salesforce/wikitext,validation,wikitext-2-raw-v1,full cached WikiText-2 validation,"existing evaluator: BF16 logits CE, per-token loss to FP32; log(float32 PPL), weighted by predicted tokens",18.104944766122504,2.8961850924602586,252728,252852,0,new_phase5_measurement,COMPLETED,/home/dongpeiyan/projects/rotation-quant/runs/phase5/llama32-1b/uniform-qat400-s42/checkpoint-0400/validation.json
meta-llama/Llama-3.2-1B-Instruct,42,Uniform-QAT400,INT8,WikiText-2 train only,/home/dongpeiyan/projects/rotation-quant/runs/phase5/llama32-1b/uniform-down-readapt-s42/static_w4a8.pt,/home/dongpeiyan/projects/rotation-quant/runs/phase5/llama32-1b/uniform-qat400-s42/checkpoint-0400/static_w4a8.pt,Salesforce/wikitext,test,wikitext-2-raw-v1,/home/dongpeiyan/projects/rotation-quant/runs/phase5/llama32-1b/uniform-qat400-test-s42/input_tokens.pt,"BF16 logits CE; per-token loss to FP32; log(float32 segment PPL), target-weighted NLL",17.51898842630044,2.863285345616469,288934,289076,0,new_phase5_measurement,COMPLETED,/home/dongpeiyan/projects/rotation-quant/runs/phase5/llama32-1b/uniform-qat400-test-s42/result.json
meta-llama/Llama-3.2-1B-Instruct,42,Uniform-QAT400,INT8,WikiText-2 train only,/home/dongpeiyan/projects/rotation-quant/runs/phase5/llama32-1b/uniform-down-readapt-s42/static_w4a8.pt,/home/dongpeiyan/projects/rotation-quant/runs/phase5/llama32-1b/uniform-qat400-s42/checkpoint-0400/static_w4a8.pt,allenai/c4,validation,en,/home/dongpeiyan/projects/rotation-quant/runs/phase2/c4-acceptance-c-20260912.FJXr6U/data/input_tokens.pt,"BF16 logits CE; per-token loss to FP32; log(float32 segment PPL), target-weighted NLL",38.77759462968858,3.6578426218384275,2096128,2097152,0,new_phase5_measurement,COMPLETED,/home/dongpeiyan/projects/rotation-quant/runs/phase5/llama32-1b/uniform-qat400-c4-s42/result.json
Qwen/Qwen3-1.7B,42,B100-initial-SP2,SP2,none,/home/dongpeiyan/projects/rotation-quant/runs/phase5/qwen3-1p7b/init-s42/initial.pt,/home/dongpeiyan/projects/rotation-quant/runs/phase5/qwen3-1p7b/joint100-s42/checkpoint-0100/static_w4a8.pt,Salesforce/wikitext,validation,wikitext-2-raw-v1,full cached WikiText-2 validation,"existing evaluator: BF16 logits CE, per-token loss to FP32; log(float32 PPL), weighted by predicted tokens",16.340940643824144,2.793673654716446,262208,262337,0,new_phase5_measurement,COMPLETED,/home/dongpeiyan/projects/rotation-quant/runs/phase5/qwen3-1p7b/joint100-s42/checkpoint-0100/validation.json
Qwen/Qwen3-1.7B,42,B100-initial-SP2,SP2,none,/home/dongpeiyan/projects/rotation-quant/runs/phase5/qwen3-1p7b/init-s42/initial.pt,/home/dongpeiyan/projects/rotation-quant/runs/phase5/qwen3-1p7b/joint100-s42/checkpoint-0100/static_w4a8.pt,allenai/c4,validation,en,/home/dongpeiyan/projects/rotation-quant/runs/phase5/qwen3-1p7b/c4-data/input_tokens.pt,"BF16 logits CE; per-token loss to FP32; log(float32 segment PPL), target-weighted NLL",27.18323240302331,3.3026003274437667,2096128,2097152,0,new_phase5_measurement,COMPLETED,/home/dongpeiyan/projects/rotation-quant/runs/phase5/qwen3-1p7b/b100-sp2-c4-s42/result.json
Qwen/Qwen3-1.7B,42,B100-initial-INT8,INT8,none,/home/dongpeiyan/projects/rotation-quant/runs/phase5/qwen3-1p7b/joint100-s42/checkpoint-0100/static_w4a8.pt,/home/dongpeiyan/projects/rotation-quant/runs/phase5/qwen3-1p7b/uniform-initial-s42/static_w4a8.pt,allenai/c4,validation,en,/home/dongpeiyan/projects/rotation-quant/runs/phase5/qwen3-1p7b/c4-data/input_tokens.pt,"BF16 logits CE; per-token loss to FP32; log(float32 segment PPL), target-weighted NLL",33.33932032786121,3.5067374910279026,2096128,2097152,0,new_phase5_measurement,COMPLETED,/home/dongpeiyan/projects/rotation-quant/runs/phase5/qwen3-1p7b/b100-int8-c4-s42/result.json
Qwen/Qwen3-1.7B,42,SP2-down-round,SP2,none,/home/dongpeiyan/projects/rotation-quant/runs/phase5/qwen3-1p7b/joint100-s42/checkpoint-0100/static_w4a8.pt,/home/dongpeiyan/projects/rotation-quant/runs/phase5/qwen3-1p7b/sp2-down-round-s42/static_w4a8.pt,Salesforce/wikitext,validation,wikitext-2-raw-v1,full cached WikiText-2 validation,"existing evaluator: BF16 logits CE, per-token loss to FP32; log(float32 PPL), weighted by predicted tokens",15.930924848715014,2.768262179280969,262208,262337,0,new_phase5_measurement,COMPLETED,/home/dongpeiyan/projects/rotation-quant/runs/phase5/qwen3-1p7b/sp2-down-round-s42/validation.json
Qwen/Qwen3-1.7B,42,Uniform-down-round,INT8,none,/home/dongpeiyan/projects/rotation-quant/runs/phase5/qwen3-1p7b/uniform-initial-s42/static_w4a8.pt,/home/dongpeiyan/projects/rotation-quant/runs/phase5/qwen3-1p7b/uniform-down-round-s42/static_w4a8.pt,Salesforce/wikitext,validation,wikitext-2-raw-v1,full cached WikiText-2 validation,"existing evaluator: BF16 logits CE, per-token loss to FP32; log(float32 PPL), weighted by predicted tokens",19.521916498772708,2.9715377574550645,262208,262337,0,new_phase5_measurement,COMPLETED,/home/dongpeiyan/projects/rotation-quant/runs/phase5/qwen3-1p7b/uniform-down-round-s42/validation.json
Qwen/Qwen3-1.7B,42,SP2-range,SP2,none,/home/dongpeiyan/projects/rotation-quant/runs/phase5/qwen3-1p7b/sp2-down-round-s42/static_w4a8.pt,/home/dongpeiyan/projects/rotation-quant/runs/phase5/qwen3-1p7b/sp2-range-s42/static_w4a8.pt,Salesforce/wikitext,validation,wikitext-2-raw-v1,full cached WikiText-2 validation,"existing evaluator: BF16 logits CE, per-token loss to FP32; log(float32 PPL), weighted by predicted tokens",15.384419587171699,2.7333552821716736,262208,262337,0,new_phase5_measurement,COMPLETED,/home/dongpeiyan/projects/rotation-quant/runs/phase5/qwen3-1p7b/sp2-range-s42/validation.json
Qwen/Qwen3-1.7B,42,Uniform-range,INT8,none,/home/dongpeiyan/projects/rotation-quant/runs/phase5/qwen3-1p7b/uniform-down-round-s42/static_w4a8.pt,/home/dongpeiyan/projects/rotation-quant/runs/phase5/qwen3-1p7b/uniform-range-s42/static_w4a8.pt,Salesforce/wikitext,validation,wikitext-2-raw-v1,full cached WikiText-2 validation,"existing evaluator: BF16 logits CE, per-token loss to FP32; log(float32 PPL), weighted by predicted tokens",17.887933411651215,2.884126374450734,262208,262337,0,new_phase5_measurement,COMPLETED,/home/dongpeiyan/projects/rotation-quant/runs/phase5/qwen3-1p7b/uniform-range-s42/validation.json
Qwen/Qwen3-1.7B,42,SP2-PTQ,SP2,none,/home/dongpeiyan/projects/rotation-quant/runs/phase5/qwen3-1p7b/sp2-range-s42/static_w4a8.pt,/home/dongpeiyan/projects/rotation-quant/runs/phase5/qwen3-1p7b/sp2-down-readapt-s42/static_w4a8.pt,Salesforce/wikitext,validation,wikitext-2-raw-v1,full cached WikiText-2 validation,"existing evaluator: BF16 logits CE, per-token loss to FP32; log(float32 PPL), weighted by predicted tokens",14.935424095235582,2.7037358473302344,262208,262337,0,new_phase5_measurement,COMPLETED,/home/dongpeiyan/projects/rotation-quant/runs/phase5/qwen3-1p7b/sp2-down-readapt-s42/validation.json
Qwen/Qwen3-1.7B,42,Uniform-PTQ,INT8,none,/home/dongpeiyan/projects/rotation-quant/runs/phase5/qwen3-1p7b/uniform-range-s42/static_w4a8.pt,/home/dongpeiyan/projects/rotation-quant/runs/phase5/qwen3-1p7b/uniform-down-readapt-s42/static_w4a8.pt,Salesforce/wikitext,validation,wikitext-2-raw-v1,full cached WikiText-2 validation,"existing evaluator: BF16 logits CE, per-token loss to FP32; log(float32 PPL), weighted by predicted tokens",17.491760837320335,2.861729960767992,262208,262337,0,new_phase5_measurement,COMPLETED,/home/dongpeiyan/projects/rotation-quant/runs/phase5/qwen3-1p7b/uniform-down-readapt-s42/validation.json
Qwen/Qwen3-1.7B,42,SP2-PTQ,SP2,none,/home/dongpeiyan/projects/rotation-quant/runs/phase5/qwen3-1p7b/sp2-range-s42/static_w4a8.pt,/home/dongpeiyan/projects/rotation-quant/runs/phase5/qwen3-1p7b/sp2-down-readapt-s42/static_w4a8.pt,Salesforce/wikitext,test,wikitext-2-raw-v1,/home/dongpeiyan/projects/rotation-quant/runs/phase5/qwen3-1p7b/sp2-ptq-test-s42/input_tokens.pt,"BF16 logits CE; per-token loss to FP32; log(float32 segment PPL), target-weighted NLL",14.302163393485294,2.6604108120809626,298931,299078,0,new_phase5_measurement,COMPLETED,/home/dongpeiyan/projects/rotation-quant/runs/phase5/qwen3-1p7b/sp2-ptq-test-s42/result.json
Qwen/Qwen3-1.7B,42,Uniform-PTQ,INT8,none,/home/dongpeiyan/projects/rotation-quant/runs/phase5/qwen3-1p7b/uniform-range-s42/static_w4a8.pt,/home/dongpeiyan/projects/rotation-quant/runs/phase5/qwen3-1p7b/uniform-down-readapt-s42/static_w4a8.pt,Salesforce/wikitext,test,wikitext-2-raw-v1,/home/dongpeiyan/projects/rotation-quant/runs/phase5/qwen3-1p7b/uniform-ptq-test-s42/input_tokens.pt,"BF16 logits CE; per-token loss to FP32; log(float32 segment PPL), target-weighted NLL",16.78537625006989,2.8205080460324137,298931,299078,0,new_phase5_measurement,COMPLETED,/home/dongpeiyan/projects/rotation-quant/runs/phase5/qwen3-1p7b/uniform-ptq-test-s42/result.json
Qwen/Qwen3-1.7B,42,SP2-PTQ,SP2,none,/home/dongpeiyan/projects/rotation-quant/runs/phase5/qwen3-1p7b/sp2-range-s42/static_w4a8.pt,/home/dongpeiyan/projects/rotation-quant/runs/phase5/qwen3-1p7b/sp2-down-readapt-s42/static_w4a8.pt,allenai/c4,validation,en,/home/dongpeiyan/projects/rotation-quant/runs/phase5/qwen3-1p7b/c4-data/input_tokens.pt,"BF16 logits CE; per-token loss to FP32; log(float32 segment PPL), target-weighted NLL",24.903332773203157,3.215001640827423,2096128,2097152,0,new_phase5_measurement,COMPLETED,/home/dongpeiyan/projects/rotation-quant/runs/phase5/qwen3-1p7b/sp2-ptq-c4-s42/result.json
