The tokenizer class you load from this checkpoint is not the same type as the class this function is called from. It may result in unexpected tokenization. 
The tokenizer class you load from this checkpoint is 'PreTrainedTokenizerFast'. 
The class this function is called from is 'LlamaTokenizerFast'.
You are using the default legacy behaviour of the <class 'transformers.models.llama.tokenization_llama_fast.LlamaTokenizerFast'>. This is expected, and simply means that the `legacy` (previous) behavior will be used so nothing changes for you. If you want to use the new behaviour, set `legacy=False`. This should only be set if you understand what it means, and thoroughly read the reason why this was added as explained in https://github.com/huggingface/transformers/pull/24565 - if you loaded a llama tokenizer from a GGUF file you can ignore this message.
Token indices sequence length is longer than the specified maximum sequence length for this model (252852 > 2048). Running this sequence through the model will result in indexing errors
Some weights of LlamaForCausalLM were not initialized from the model checkpoint at /home/dongpeiyan/projects/rotation-quant/cache/models/llama-3.2-1b-instruct and are newly initialized: ['lm_head.weight']
You should probably TRAIN this model on a down-stream task to be able to use it for predictions and inference.
/home/dongpeiyan/miniconda3/envs/rotation-quant-p0/lib/python3.9/site-packages/transformers/modeling_utils.py:4713: FutureWarning: `_is_quantized_training_enabled` is going to be deprecated in transformers 4.39.0. Please use `model.hf_quantizer.is_trainable` instead
  warnings.warn(
Some weights of LlamaForCausalLM were not initialized from the model checkpoint at /home/dongpeiyan/projects/rotation-quant/cache/models/llama-3.2-1b-instruct and are newly initialized: ['lm_head.weight']
You should probably TRAIN this model on a down-stream task to be able to use it for predictions and inference.
Evaluation segment 1/1: start=0, windows=8, seqlen=2048
(Eval) Layers:   0%|          | 0/16 [00:00<?, ?it/s]The attention layers in this model are transitioning from computing the RoPE embeddings internally through `position_ids` (2D tensor with the indexes of the tokens), to using externally computed `position_embeddings` (Tuple of tensors, containing cos and sin). In v4.46 `position_ids` will be removed and `position_embeddings` will be mandatory.
(Eval) Layers:   6%|▋         | 1/16 [00:00<00:02,  5.95it/s](Eval) Layers:  19%|█▉        | 3/16 [00:00<00:01, 11.05it/s](Eval) Layers:  31%|███▏      | 5/16 [00:00<00:00, 13.45it/s](Eval) Layers:  44%|████▍     | 7/16 [00:00<00:00, 14.51it/s](Eval) Layers:  56%|█████▋    | 9/16 [00:00<00:00, 15.04it/s](Eval) Layers:  69%|██████▉   | 11/16 [00:00<00:00, 15.41it/s](Eval) Layers:  81%|████████▏ | 13/16 [00:00<00:00, 15.42it/s](Eval) Layers:  94%|█████████▍| 15/16 [00:01<00:00, 15.11it/s](Eval) Layers: 100%|██████████| 16/16 [00:01<00:00, 14.26it/s]
{"stage": "sequential-round-coordinate", "pid": 3709002, "time": 1789702040.0902762, "cuda_visible_devices": "1", "allocated_gib": 4.7712721824646, "reserved_gib": 7.484375, "peak_allocated_gib": 7.2712016105651855, "gpu_time_budget": null, "module": "model.layers.0.mlp.down_proj", "step": 1280}
{"stage": "sequential-round-coordinate", "pid": 3709002, "time": 1789702040.7672265, "cuda_visible_devices": "1", "allocated_gib": 4.7712721824646, "reserved_gib": 7.484375, "peak_allocated_gib": 7.2712016105651855, "gpu_time_budget": null, "module": "model.layers.0.mlp.down_proj", "step": 1408}
{"stage": "sequential-round-coordinate", "pid": 3709002, "time": 1789702041.444494, "cuda_visible_devices": "1", "allocated_gib": 4.7712721824646, "reserved_gib": 7.484375, "peak_allocated_gib": 7.2712016105651855, "gpu_time_budget": null, "module": "model.layers.0.mlp.down_proj", "step": 1536}
{"stage": "sequential-round-coordinate", "pid": 3709002, "time": 1789702042.1313977, "cuda_visible_devices": "1", "allocated_gib": 4.7712721824646, "reserved_gib": 7.484375, "peak_allocated_gib": 7.2712016105651855, "gpu_time_budget": null, "module": "model.layers.0.mlp.down_proj", "step": 1664}
{"stage": "sequential-round-coordinate", "pid": 3709002, "time": 1789702042.815447, "cuda_visible_devices": "1", "allocated_gib": 4.7712721824646, "reserved_gib": 7.484375, "peak_allocated_gib": 7.2712016105651855, "gpu_time_budget": null, "module": "model.layers.0.mlp.down_proj", "step": 1792}
{"stage": "sequential-round-coordinate", "pid": 3709002, "time": 1789702043.4994354, "cuda_visible_devices": "1", "allocated_gib": 4.7712721824646, "reserved_gib": 7.484375, "peak_allocated_gib": 7.2712016105651855, "gpu_time_budget": null, "module": "model.layers.0.mlp.down_proj", "step": 1920}
{"stage": "sequential-round-coordinate", "pid": 3709002, "time": 1789702044.2474916, "cuda_visible_devices": "1", "allocated_gib": 4.7712721824646, "reserved_gib": 7.484375, "peak_allocated_gib": 7.2712016105651855, "gpu_time_budget": null, "module": "model.layers.0.mlp.down_proj", "step": 2048}
{"stage": "sequential-round-coordinate", "pid": 3709002, "time": 1789702044.9329507, "cuda_visible_devices": "1", "allocated_gib": 4.7712721824646, "reserved_gib": 7.484375, "peak_allocated_gib": 7.2712016105651855, "gpu_time_budget": null, "module": "model.layers.0.mlp.down_proj", "step": 2176}
{"stage": "sequential-round-coordinate", "pid": 3709002, "time": 1789702045.6212804, "cuda_visible_devices": "1", "allocated_gib": 4.7712721824646, "reserved_gib": 7.484375, "peak_allocated_gib": 7.2712016105651855, "gpu_time_budget": null, "module": "model.layers.0.mlp.down_proj", "step": 2304}
{"stage": "sequential-round-coordinate", "pid": 3709002, "time": 1789702046.3153667, "cuda_visible_devices": "1", "allocated_gib": 4.7712721824646, "reserved_gib": 7.484375, "peak_allocated_gib": 7.2712016105651855, "gpu_time_budget": null, "module": "model.layers.0.mlp.down_proj", "step": 2432}
{"stage": "sequential-round-coordinate", "pid": 3709002, "time": 1789702047.0114784, "cuda_visible_devices": "1", "allocated_gib": 4.7712721824646, "reserved_gib": 7.484375, "peak_allocated_gib": 7.2712016105651855, "gpu_time_budget": null, "module": "model.layers.0.mlp.down_proj", "step": 2560}
{"stage": "sequential-round-coordinate", "pid": 3709002, "time": 1789702047.7003942, "cuda_visible_devices": "1", "allocated_gib": 4.7712721824646, "reserved_gib": 7.484375, "peak_allocated_gib": 7.2712016105651855, "gpu_time_budget": null, "module": "model.layers.0.mlp.down_proj", "step": 2688}
{"stage": "sequential-round-coordinate", "pid": 3709002, "time": 1789702048.3899143, "cuda_visible_devices": "1", "allocated_gib": 4.7712721824646, "reserved_gib": 7.484375, "peak_allocated_gib": 7.2712016105651855, "gpu_time_budget": null, "module": "model.layers.0.mlp.down_proj", "step": 2816}
{"stage": "sequential-round-coordinate", "pid": 3709002, "time": 1789702049.070715, "cuda_visible_devices": "1", "allocated_gib": 4.7712721824646, "reserved_gib": 7.484375, "peak_allocated_gib": 7.2712016105651855, "gpu_time_budget": null, "module": "model.layers.0.mlp.down_proj", "step": 2944}
{"stage": "sequential-round-coordinate", "pid": 3709002, "time": 1789702049.7505429, "cuda_visible_devices": "1", "allocated_gib": 4.7712721824646, "reserved_gib": 7.484375, "peak_allocated_gib": 7.2712016105651855, "gpu_time_budget": null, "module": "model.layers.0.mlp.down_proj", "step": 3072}
{"stage": "sequential-round-coordinate", "pid": 3709002, "time": 1789702050.4283612, "cuda_visible_devices": "1", "allocated_gib": 4.7712721824646, "reserved_gib": 7.484375, "peak_allocated_gib": 7.2712016105651855, "gpu_time_budget": null, "module": "model.layers.0.mlp.down_proj", "step": 3200}
{"stage": "sequential-round-coordinate", "pid": 3709002, "time": 1789702051.105917, "cuda_visible_devices": "1", "allocated_gib": 4.7712721824646, "reserved_gib": 7.484375, "peak_allocated_gib": 7.2712016105651855, "gpu_time_budget": null, "module": "model.layers.0.mlp.down_proj", "step": 3328}
{"stage": "sequential-round-coordinate", "pid": 3709002, "time": 1789702051.7844453, "cuda_visible_devices": "1", "allocated_gib": 4.7712721824646, "reserved_gib": 7.484375, "peak_allocated_gib": 7.2712016105651855, "gpu_time_budget": null, "module": "model.layers.0.mlp.down_proj", "step": 3456}
{"stage": "sequential-round-coordinate", "pid": 3709002, "time": 1789702052.4662952, "cuda_visible_devices": "1", "allocated_gib": 4.7712721824646, "reserved_gib": 7.484375, "peak_allocated_gib": 7.2712016105651855, "gpu_time_budget": null, "module": "model.layers.0.mlp.down_proj", "step": 3584}
{"stage": "sequential-round-coordinate", "pid": 3709002, "time": 1789702053.1436105, "cuda_visible_devices": "1", "allocated_gib": 4.7712721824646, "reserved_gib": 7.484375, "peak_allocated_gib": 7.2712016105651855, "gpu_time_budget": null, "module": "model.layers.0.mlp.down_proj", "step": 3712}
{"stage": "sequential-round-coordinate", "pid": 3709002, "time": 1789702053.8238466, "cuda_visible_devices": "1", "allocated_gib": 4.7712721824646, "reserved_gib": 7.484375, "peak_allocated_gib": 7.2712016105651855, "gpu_time_budget": null, "module": "model.layers.0.mlp.down_proj", "step": 3840}
{"stage": "sequential-round-coordinate", "pid": 3709002, "time": 1789702054.5027153, "cuda_visible_devices": "1", "allocated_gib": 4.7712721824646, "reserved_gib": 7.484375, "peak_allocated_gib": 7.2712016105651855, "gpu_time_budget": null, "module": "model.layers.0.mlp.down_proj", "step": 3968}
{"stage": "sequential-round-coordinate", "pid": 3709002, "time": 1789702055.1809845, "cuda_visible_devices": "1", "allocated_gib": 4.7712721824646, "reserved_gib": 7.484375, "peak_allocated_gib": 7.2712016105651855, "gpu_time_budget": null, "module": "model.layers.0.mlp.down_proj", "step": 4096}
{"stage": "sequential-round-coordinate", "pid": 3709002, "time": 1789702055.8604789, "cuda_visible_devices": "1", "allocated_gib": 4.7712721824646, "reserved_gib": 7.484375, "peak_allocated_gib": 7.2712016105651855, "gpu_time_budget": null, "module": "model.layers.0.mlp.down_proj", "step": 4224}
{"stage": "sequential-round-coordinate", "pid": 3709002, "time": 1789702056.5377502, "cuda_visible_devices": "1", "allocated_gib": 4.7712721824646, "reserved_gib": 7.484375, "peak_allocated_gib": 7.2712016105651855, "gpu_time_budget": null, "module": "model.layers.0.mlp.down_proj", "step": 4352}
{"stage": "sequential-round-coordinate", "pid": 3709002, "time": 1789702057.2149005, "cuda_visible_devices": "1", "allocated_gib": 4.7712721824646, "reserved_gib": 7.484375, "peak_allocated_gib": 7.2712016105651855, "gpu_time_budget": null, "module": "model.layers.0.mlp.down_proj", "step": 4480}
{"stage": "sequential-round-coordinate", "pid": 3709002, "time": 1789702057.8930035, "cuda_visible_devices": "1", "allocated_gib": 4.7712721824646, "reserved_gib": 7.484375, "peak_allocated_gib": 7.2712016105651855, "gpu_time_budget": null, "module": "model.layers.0.mlp.down_proj", "step": 4608}
{"stage": "sequential-round-coordinate", "pid": 3709002, "time": 1789702058.5701618, "cuda_visible_devices": "1", "allocated_gib": 4.7712721824646, "reserved_gib": 7.484375, "peak_allocated_gib": 7.2712016105651855, "gpu_time_budget": null, "module": "model.layers.0.mlp.down_proj", "step": 4736}
{"stage": "sequential-round-coordinate", "pid": 3709002, "time": 1789702059.2476401, "cuda_visible_devices": "1", "allocated_gib": 4.7712721824646, "reserved_gib": 7.484375, "peak_allocated_gib": 7.2712016105651855, "gpu_time_budget": null, "module": "model.layers.0.mlp.down_proj", "step": 4864}
{"stage": "sequential-round-coordinate", "pid": 3709002, "time": 1789702059.924512, "cuda_visible_devices": "1", "allocated_gib": 4.7712721824646, "reserved_gib": 7.484375, "peak_allocated_gib": 7.2712016105651855, "gpu_time_budget": null, "module": "model.layers.0.mlp.down_proj", "step": 4992}
{"stage": "sequential-round-coordinate", "pid": 3709002, "time": 1789702060.6040285, "cuda_visible_devices": "1", "allocated_gib": 4.7712721824646, "reserved_gib": 7.484375, "peak_allocated_gib": 7.2712016105651855, "gpu_time_budget": null, "module": "model.layers.0.mlp.down_proj", "step": 5120}
{"stage": "sequential-round-coordinate", "pid": 3709002, "time": 1789702061.2822363, "cuda_visible_devices": "1", "allocated_gib": 4.7712721824646, "reserved_gib": 7.484375, "peak_allocated_gib": 7.2712016105651855, "gpu_time_budget": null, "module": "model.layers.0.mlp.down_proj", "step": 5248}
{"stage": "sequential-round-coordinate", "pid": 3709002, "time": 1789702061.9589932, "cuda_visible_devices": "1", "allocated_gib": 4.7712721824646, "reserved_gib": 7.484375, "peak_allocated_gib": 7.2712016105651855, "gpu_time_budget": null, "module": "model.layers.0.mlp.down_proj", "step": 5376}
{"stage": "sequential-round-coordinate", "pid": 3709002, "time": 1789702062.636035, "cuda_visible_devices": "1", "allocated_gib": 4.7712721824646, "reserved_gib": 7.484375, "peak_allocated_gib": 7.2712016105651855, "gpu_time_budget": null, "module": "model.layers.0.mlp.down_proj", "step": 5504}
{"stage": "sequential-round-coordinate", "pid": 3709002, "time": 1789702063.3132684, "cuda_visible_devices": "1", "allocated_gib": 4.7712721824646, "reserved_gib": 7.484375, "peak_allocated_gib": 7.2712016105651855, "gpu_time_budget": null, "module": "model.layers.0.mlp.down_proj", "step": 5632}
{"stage": "sequential-round-coordinate", "pid": 3709002, "time": 1789702063.9942498, "cuda_visible_devices": "1", "allocated_gib": 4.7712721824646, "reserved_gib": 7.484375, "peak_allocated_gib": 7.2712016105651855, "gpu_time_budget": null, "module": "model.layers.0.mlp.down_proj", "step": 5760}
{"stage": "sequential-round-coordinate", "pid": 3709002, "time": 1789702064.6746016, "cuda_visible_devices": "1", "allocated_gib": 4.7712721824646, "reserved_gib": 7.484375, "peak_allocated_gib": 7.2712016105651855, "gpu_time_budget": null, "module": "model.layers.0.mlp.down_proj", "step": 5888}
{"stage": "sequential-round-coordinate", "pid": 3709002, "time": 1789702065.357235, "cuda_visible_devices": "1", "allocated_gib": 4.7712721824646, "reserved_gib": 7.484375, "peak_allocated_gib": 7.2712016105651855, "gpu_time_budget": null, "module": "model.layers.0.mlp.down_proj", "step": 6016}
{"stage": "sequential-round-coordinate", "pid": 3709002, "time": 1789702066.0345387, "cuda_visible_devices": "1", "allocated_gib": 4.7712721824646, "reserved_gib": 7.484375, "peak_allocated_gib": 7.2712016105651855, "gpu_time_budget": null, "module": "model.layers.0.mlp.down_proj", "step": 6144}
{"stage": "sequential-round-coordinate", "pid": 3709002, "time": 1789702066.7119775, "cuda_visible_devices": "1", "allocated_gib": 4.7712721824646, "reserved_gib": 7.484375, "peak_allocated_gib": 7.2712016105651855, "gpu_time_budget": null, "module": "model.layers.0.mlp.down_proj", "step": 6272}
{"stage": "sequential-round-coordinate", "pid": 3709002, "time": 1789702067.3894484, "cuda_visible_devices": "1", "allocated_gib": 4.7712721824646, "reserved_gib": 7.484375, "peak_allocated_gib": 7.2712016105651855, "gpu_time_budget": null, "module": "model.layers.0.mlp.down_proj", "step": 6400}
{"stage": "sequential-round-coordinate", "pid": 3709002, "time": 1789702068.0671577, "cuda_visible_devices": "1", "allocated_gib": 4.7712721824646, "reserved_gib": 7.484375, "peak_allocated_gib": 7.2712016105651855, "gpu_time_budget": null, "module": "model.layers.0.mlp.down_proj", "step": 6528}
{"stage": "sequential-round-coordinate", "pid": 3709002, "time": 1789702068.7448442, "cuda_visible_devices": "1", "allocated_gib": 4.7712721824646, "reserved_gib": 7.484375, "peak_allocated_gib": 7.2712016105651855, "gpu_time_budget": null, "module": "model.layers.0.mlp.down_proj", "step": 6656}
{"stage": "sequential-round-coordinate", "pid": 3709002, "time": 1789702069.422219, "cuda_visible_devices": "1", "allocated_gib": 4.7712721824646, "reserved_gib": 7.484375, "peak_allocated_gib": 7.2712016105651855, "gpu_time_budget": null, "module": "model.layers.0.mlp.down_proj", "step": 6784}
{"stage": "sequential-round-coordinate", "pid": 3709002, "time": 1789702070.1024206, "cuda_visible_devices": "1", "allocated_gib": 4.7712721824646, "reserved_gib": 7.484375, "peak_allocated_gib": 7.2712016105651855, "gpu_time_budget": null, "module": "model.layers.0.mlp.down_proj", "step": 6912}
{"stage": "sequential-round-coordinate", "pid": 3709002, "time": 1789702070.7821321, "cuda_visible_devices": "1", "allocated_gib": 4.7712721824646, "reserved_gib": 7.484375, "peak_allocated_gib": 7.2712016105651855, "gpu_time_budget": null, "module": "model.layers.0.mlp.down_proj", "step": 7040}
{"stage": "sequential-round-coordinate", "pid": 3709002, "time": 1789702071.463646, "cuda_visible_devices": "1", "allocated_gib": 4.7712721824646, "reserved_gib": 7.484375, "peak_allocated_gib": 7.2712016105651855, "gpu_time_budget": null, "module": "model.layers.0.mlp.down_proj", "step": 7168}
{"stage": "sequential-round-coordinate", "pid": 3709002, "time": 1789702072.1524842, "cuda_visible_devices": "1", "allocated_gib": 4.7712721824646, "reserved_gib": 7.484375, "peak_allocated_gib": 7.2712016105651855, "gpu_time_budget": null, "module": "model.layers.0.mlp.down_proj", "step": 7296}
{"stage": "sequential-round-coordinate", "pid": 3709002, "time": 1789702072.8323312, "cuda_visible_devices": "1", "allocated_gib": 4.7712721824646, "reserved_gib": 7.484375, "peak_allocated_gib": 7.2712016105651855, "gpu_time_budget": null, "module": "model.layers.0.mlp.down_proj", "step": 7424}
{"stage": "sequential-round-coordinate", "pid": 3709002, "time": 1789702073.5101633, "cuda_visible_devices": "1", "allocated_gib": 4.7712721824646, "reserved_gib": 7.484375, "peak_allocated_gib": 7.2712016105651855, "gpu_time_budget": null, "module": "model.layers.0.mlp.down_proj", "step": 7552}
{"stage": "sequential-round-coordinate", "pid": 3709002, "time": 1789702074.1908014, "cuda_visible_devices": "1", "allocated_gib": 4.7712721824646, "reserved_gib": 7.484375, "peak_allocated_gib": 7.2712016105651855, "gpu_time_budget": null, "module": "model.layers.0.mlp.down_proj", "step": 7680}
{"stage": "sequential-round-coordinate", "pid": 3709002, "time": 1789702074.8715906, "cuda_visible_devices": "1", "allocated_gib": 4.7712721824646, "reserved_gib": 7.484375, "peak_allocated_gib": 7.2712016105651855, "gpu_time_budget": null, "module": "model.layers.0.mlp.down_proj", "step": 7808}
{"stage": "sequential-round-coordinate", "pid": 3709002, "time": 1789702075.551885, "cuda_visible_devices": "1", "allocated_gib": 4.7712721824646, "reserved_gib": 7.484375, "peak_allocated_gib": 7.2712016105651855, "gpu_time_budget": null, "module": "model.layers.0.mlp.down_proj", "step": 7936}
{"stage": "sequential-round-coordinate", "pid": 3709002, "time": 1789702076.2323232, "cuda_visible_devices": "1", "allocated_gib": 4.7712721824646, "reserved_gib": 7.484375, "peak_allocated_gib": 7.2712016105651855, "gpu_time_budget": null, "module": "model.layers.0.mlp.down_proj", "step": 8064}
{"stage": "sequential-round-coordinate", "pid": 3709002, "time": 1789702076.9758754, "cuda_visible_devices": "1", "allocated_gib": 4.7712721824646, "reserved_gib": 7.484375, "peak_allocated_gib": 7.2712016105651855, "gpu_time_budget": null, "module": "model.layers.0.mlp.down_proj", "step": 8192}
{"stage": "sequential-round-train-nll", "pid": 3709002, "time": 1789702077.0187783, "cuda_visible_devices": "1", "allocated_gib": 2.8024439811706543, "reserved_gib": 2.837890625, "peak_allocated_gib": 7.2712016105651855, "gpu_time_budget": null, "module": "model.layers.0.mlp.down_proj", "step": 512}
Evaluation segment 1/1: start=0, windows=8, seqlen=2048
(Eval) Layers:   0%|          | 0/16 [00:00<?, ?it/s](Eval) Layers:  12%|█▎        | 2/16 [00:00<00:00, 16.21it/s](Eval) Layers:  25%|██▌       | 4/16 [00:00<00:00, 17.17it/s](Eval) Layers:  38%|███▊      | 6/16 [00:00<00:00, 18.08it/s](Eval) Layers:  50%|█████     | 8/16 [00:00<00:00, 17.86it/s](Eval) Layers:  62%|██████▎   | 10/16 [00:00<00:00, 18.19it/s](Eval) Layers:  75%|███████▌  | 12/16 [00:00<00:00, 17.93it/s](Eval) Layers:  88%|████████▊ | 14/16 [00:00<00:00, 17.76it/s](Eval) Layers: 100%|██████████| 16/16 [00:00<00:00, 17.47it/s](Eval) Layers: 100%|██████████| 16/16 [00:00<00:00, 17.63it/s]
{"stage": "sequential-round-train-nll", "pid": 3709002, "time": 1789702078.9773736, "cuda_visible_devices": "1", "allocated_gib": 0.560706615447998, "reserved_gib": 2.158203125, "peak_allocated_gib": 7.2712016105651855, "gpu_time_budget": null, "module": "model.layers.0.mlp.down_proj", "step": 2048}
Evaluation segment 1/1: start=0, windows=8, seqlen=2048
(Eval) Layers:   0%|          | 0/16 [00:00<?, ?it/s](Eval) Layers:  12%|█▎        | 2/16 [00:00<00:01, 12.95it/s](Eval) Layers:  25%|██▌       | 4/16 [00:00<00:00, 14.12it/s](Eval) Layers:  38%|███▊      | 6/16 [00:00<00:00, 14.51it/s](Eval) Layers:  50%|█████     | 8/16 [00:00<00:00, 14.62it/s](Eval) Layers:  62%|██████▎   | 10/16 [00:00<00:00, 14.69it/s](Eval) Layers:  75%|███████▌  | 12/16 [00:00<00:00, 14.70it/s](Eval) Layers:  88%|████████▊ | 14/16 [00:00<00:00, 14.72it/s](Eval) Layers: 100%|██████████| 16/16 [00:01<00:00, 14.57it/s](Eval) Layers: 100%|██████████| 16/16 [00:01<00:00, 14.51it/s]
{"stage": "sequential-round-train-nll", "pid": 3709002, "time": 1789702081.153266, "cuda_visible_devices": "1", "allocated_gib": 0.6232218742370605, "reserved_gib": 2.232421875, "peak_allocated_gib": 7.2712016105651855, "gpu_time_budget": null, "module": "model.layers.0.mlp.down_proj", "step": 8192}
Evaluation segment 1/1: start=0, windows=8, seqlen=2048
(Eval) Layers:   0%|          | 0/16 [00:00<?, ?it/s](Eval) Layers:  12%|█▎        | 2/16 [00:00<00:01, 13.46it/s](Eval) Layers:  25%|██▌       | 4/16 [00:00<00:00, 14.11it/s](Eval) Layers:  38%|███▊      | 6/16 [00:00<00:00, 14.26it/s](Eval) Layers:  50%|█████     | 8/16 [00:00<00:00, 14.60it/s](Eval) Layers:  62%|██████▎   | 10/16 [00:00<00:00, 14.71it/s](Eval) Layers:  75%|███████▌  | 12/16 [00:00<00:00, 14.88it/s](Eval) Layers:  88%|████████▊ | 14/16 [00:00<00:00, 14.88it/s](Eval) Layers: 100%|██████████| 16/16 [00:01<00:00, 15.08it/s](Eval) Layers: 100%|██████████| 16/16 [00:01<00:00, 14.74it/s]
{"stage": "sequential-module-completed", "pid": 3709002, "time": 1789702083.281064, "cuda_visible_devices": "1", "allocated_gib": 0.685737133026123, "reserved_gib": 2.310546875, "peak_allocated_gib": 7.2712016105651855, "gpu_time_budget": null, "module": "model.layers.0.mlp.down_proj", "completed": 1, "total": 16, "selected_train_nll": 6.892943425322137, "elapsed_seconds": 50.94390101998579}
{"stage": "sequential-round-fit", "pid": 3709002, "time": 1789702083.9534771, "cuda_visible_devices": "1", "allocated_gib": 2.989989757537842, "reserved_gib": 3.30078125, "peak_allocated_gib": 7.2712016105651855, "gpu_time_budget": null, "module": "model.layers.1.mlp.down_proj", "fit_rows": 49152, "heldout_rows": 16384}
